x_goal,y_goal,count,torque_M1,torque_M2,torque_M3,vel_M1,vel_M2,vel_M3,pos_x,pos_y,vel_x,vel_y,phi,phi_dot,alpha,beta,theta,alpha_dot,beta_dot
1764288339.6885526,0.010000228881835938,0.8,0.8,0,-0.34,-0.33,-0.33,6.97,-8.44,2.51,0.17,0.17,0.32,0.33,0.0032724923474889422,-0.10908307824966101,0.31715913659692907,-0.0651022662923939,1.0440489384109686,0.2537937983591032
1764288339.7085536,0.010000228881835938,0.8,0.8,0,-0.33,-0.32,-0.31,7.88,-9.2,2.72,0.17,0.17,0.34,0.37,0.002181661564992332,0.0,0.33836644814046,-0.050533481587741846,1.0888213861320661,0.9179961771708989
1764288339.718554,0.010000228881835938,0.8,0.8,0,-0.32,-0.31,-0.29,7.81,-9.2,2.58,0.18,0.18,0.34,0.37,0.002181661564992332,0.0,0.34771424632472714,-0.03807327227163615,0.934779818426712,1.2460209316105697
1764288339.7394488,0.010890960693359375,0.8,0.8,0,-0.3,-0.3,-0.29,6.55,-8.51,2.93,0.18,0.18,0.33,0.31,0.0,-0.10908307824966101,0.3586520251486931,0.03200096517705209,0.39245437115882353,4.0491356645783405
1764288339.7494493,0.010000228881835938,0.8,0.8,0,-0.29,-0.3,-0.28,5.93,-8.51,3.42,0.18,0.18,0.34,0.28,-0.0010908307824966101,-0.10908307824966101,0.3589193311704033,0.08629738221442995,0.02673060217102119,5.429641703737786
1764288339.7694504,0.010000228881835938,0.8,0.8,0,-0.28,-0.29,-0.27,5.37,-8.72,3.49,0.19,0.19,0.35,0.27,-0.0032724923474893863,-0.10908307824966101,0.35273504564806,0.21171361444639913,-0.4204125331173092,6.1717026929700936
1764288339.779451,0.010000228881835938,0.8,0.8,0,-0.28,-0.29,-0.27,5.51,-8.79,3.14,0.19,0.19,0.35,0.27,-0.0032724923474893863,0.0,0.34675719800567606,0.2665553896335826,-0.597784764238396,5.484177518718347
1764288339.7994518,0.010000228881835938,0.8,0.8,0,-0.27,-0.28,-0.26,4.95,-8.37,3.28,0.2,0.19,0.34,0.25,-0.0010908307824966101,0.1090830782496166,0.33350491557528184,0.3311450411381154,-0.7480945628244307,2.191822981004421
1764288339.8194528,0.010000228881835938,0.8,0.8,0,-0.28,-0.28,-0.28,5.58,-8.3,2.86,0.2,0.2,0.32,0.28,0.0010908307824966101,0.10908307824966101,0.3161770431605819,0.341983106693422,-0.8761110466710686,0.25324712376564307
1764288339.8294532,0.010000228881835938,0.8,0.8,0,-0.3,-0.3,-0.3,5.79,-8.72,2.37,0.2,0.2,0.32,0.3,0.002181661564992332,0.1090830782495722,0.3073241228063277,0.33917829327090887,-0.8852920354254223,-0.28048134225131527
1764288339.8495944,0.010006904602050781,0.8,0.8,0,-0.33,-0.32,-0.32,5.3,-8.44,2.72,0.21,0.2,0.32,0.27,0.0010908307824966101,-0.1090830782495722,0.29099837801753825,0.32929317641177214,-0.7897070453407817,-0.4931144457993142
1764288339.8595948,0.010000228881835938,0.8,0.8,0,-0.33,-0.31,-0.32,6.35,-8.37,3.0,0.21,0.21,0.33,0.3,0.0,-0.10908307824966101,0.2836600915438421,0.3257374711676988,-0.7338286473696165,-0.3555705244073337
1764288339.8806338,0.010000228881835938,0.8,0.8,0,-0.32,-0.31,-0.31,6.41,-8.02,2.58,0.21,0.21,0.31,0.31,-0.002181661564992776,-0.1090830782496166,0.27058035467733843,0.3252853206988702,-0.6164059898962293,0.12099203871116515
1764288339.89067,0.010033130645751953,0.8,0.8,0,-0.3,-0.3,-0.29,6.21,-8.02,2.44,0.22,0.21,0.3,0.3,-0.002181661564992776,0.0,0.2647876194927168,0.3288972915046955,-0.5792735184621645,0.3611970805825315
1764288339.912617,0.011942386627197266,0.8,0.8,0,-0.29,-0.3,-0.3,6.0,-8.23,2.16,0.22,0.22,0.3,0.3,-0.002181661564992776,0.0,0.249402555151649,0.33654270156338395,-0.48216466841983774,0.18027710266883545
1764288339.9226174,0.010000228881835938,0.8,0.8,0,-0.31,-0.32,-0.31,5.58,-8.44,1.95,0.22,0.22,0.3,0.3,-0.002181661564992776,0.0,0.24506874535375545,0.3383378280497471,-0.4333809797893551,0.17951264863631522
1764288339.9433217,0.010689735412597656,0.8,0.8,0,-0.36,-0.32,-0.32,5.44,-8.02,1.81,0.23,0.22,0.28,0.29,-0.0010908307824966101,0.1090830782496166,0.23718275134999,0.3412550546402606,-0.3738502220231865,0.13116326743700668
1764288339.9533222,0.010000228881835938,0.8,0.8,0,-0.35,-0.33,-0.33,5.79,-8.58,1.74,0.23,0.23,0.3,0.31,-0.0010908307824966101,0.0,0.23371225608964608,0.34178230695402423,-0.3470495260343931,0.052725231376360426
1764288339.973323,0.010000228881835938,0.8,0.8,0,-0.35,-0.32,-0.33,6.28,-8.58,1.46,0.23,0.23,0.29,0.33,0.0010908307824966101,0.10908307824966101,0.2273687257901864,0.3396841846901264,-0.3073121567096493,-0.140989084383758
1764288339.9833257,0.010002374649047852,0.8,0.8,0,-0.33,-0.31,-0.32,6.35,-8.72,1.26,0.24,0.23,0.29,0.34,0.002181661564992332,0.1090830782495722,0.22453927725265377,0.3380887645954207,-0.28294485375326417,-0.15954200947057018
