x_goal,y_goal,count,torque_M1,torque_M2,torque_M3,vel_M1,vel_M2,vel_M3,pos_x,pos_y,vel_x,vel_y,phi,phi_dot,alpha,beta,theta,alpha_dot,beta_dot
1764287233.7325993,0.011256694793701172,1.0,0.0,0,0.01,0.02,0.0,0.14,-7.25,7.39,0.25,0.0,0.42,0.0,0.008726646259971549,0.0,-0.02422047651610537,-0.3315053182676806,-0.1890198533561538,-6.622066397913073
1764287233.7436273,0.01102447509765625,1.0,0.0,0,0.04,0.04,0.03,-0.35,-6.83,6.62,0.25,0.0,0.39,-0.01,0.008726646259971549,0.0,-0.02531231958503799,-0.34994042906024836,-0.10918430689326186,-1.8435110792567766
1764287233.7636325,0.010000228881835938,1.0,0.0,0,0.06,0.05,0.05,-0.84,-7.6,7.32,0.26,0.0,0.43,-0.02,0.01090830782496477,0.10908307824966101,-0.02768901812312663,-0.35844543221168035,-0.11720215856563243,-0.7551467187694172
1764287233.7755895,0.01195383071899414,1.0,0.0,0,0.05,0.04,0.05,-0.84,-7.53,7.25,0.26,0.0,0.43,-0.02,0.011999138607460935,0.1090830782496166,-0.02920172125307996,-0.3873291568055013,-0.151270312995333,-2.8883724593820936
1764287233.79182,0.01622748374938965,1.0,0.0,0,0.04,0.02,0.02,-0.84,-6.0,6.21,0.27,-0.0,0.35,-0.03,0.011999138607460935,0.0,-0.03233902255368637,-0.40025880389547375,-0.313730130060641,-1.2929647089972462
1764287233.8018205,0.010000228881835938,1.0,0.0,0,-0.03,-0.04,-0.05,-0.56,-6.48,6.21,0.27,-0.0,0.37,-0.01,0.014180800172453711,0.21816615649927762,-0.035519366997063706,-0.4090772510738594,-0.31803444433773365,-0.8818447178385647
1764287233.8416662,0.010000228881835938,1.0,0.0,0,-0.13,-0.15,-0.16,-0.63,-4.95,4.6,0.28,-0.0,0.28,-0.02,0.014180800172453711,0.0,-0.03966339082087611,-0.41298806970251434,-0.27206123203611376,-0.1422986184142161
1764287233.8616672,0.010000228881835938,1.0,0.0,0,-0.17,-0.19,-0.2,1.05,-6.97,7.11,0.29,-0.0,0.41,0.03,0.015271630954950322,0.0,-0.042601899596940385,-0.4187471907916711,-0.2938508776064275,-0.5759121089156771
1764287233.8716676,0.010000228881835938,1.0,0.0,0,-0.19,-0.21,-0.21,1.05,-6.62,6.97,0.29,-0.0,0.39,0.03,0.013089969389957545,-0.21816615649927762,-0.044401776455118114,-0.4218852316269115,-0.1799876858177729,-0.31380408352403855
1764287233.894876,0.010000467300415039,1.0,0.0,0,-0.2,-0.23,-0.19,0.49,-6.21,6.69,0.29,-0.0,0.37,0.02,0.01090830782496477,-0.21816615649927762,-0.048291595490801864,-0.41967526660841603,-0.20011889152296014,0.2723702150150942
1764287233.914877,0.010000228881835938,1.0,0.0,0,-0.18,-0.17,-0.15,0.21,-6.35,4.18,0.3,-0.0,0.3,0.04,0.009817477042468159,-0.10908307824966101,-0.052768223753592025,-0.4089195751598762,-0.23161361001040603,0.5208934188482672
1764287233.9451725,0.010000228881835938,1.0,0.0,0,-0.14,-0.14,-0.11,-0.0,-5.51,4.67,0.31,0.0,0.29,0.01,0.01090830782496477,0.10908307824966101,-0.060338421843896484,-0.40842825843425956,-0.2740132467964784,-0.2185573961634102
1764287233.9582016,0.013027191162109375,1.0,0.0,0,-0.12,-0.13,-0.1,-0.0,-7.18,6.35,0.31,0.0,0.39,0.01,0.011999138607460935,0.1090830782496166,-0.06302318892209513,-0.41184223612213255,-0.26847670781986466,-0.3413977687872993
1764287233.9682024,0.010000228881835938,1.0,0.0,0,-0.17,-0.12,-0.09,-0.0,-7.39,6.76,0.32,0.0,0.41,0.01,0.013089969389957545,0.10908307824966101,-0.06580391957943421,-0.41648579072462866,-0.2780730657339081,-0.4643554602496103
